Video Number,Video Title,Video Duration,Video URL,Watched,Watch again later,Notes
98,Drake - Not You Too (Audio) ft. Chris Brown,4:31,https://www.youtube.com/watch?v=ZX_mvoY_Hg0,,,
97,Drake - Losses (Audio),4:33,https://www.youtube.com/watch?v=V7iHOPpKRJc,,,
96,"Drake - Demons (Audio) ft. Fivio Foreign, Sosa Geek",3:26,https://www.youtube.com/watch?v=ecopKVhf5io,,,
95,Drake - War (Audio),3:02,https://www.youtube.com/watch?v=VcxPv4I-xZg,,,
94,Drake - Desires (Audio) ft. Future,3:59,https://www.youtube.com/watch?v=nGXCuAHEjYI,,,
93,Drake - Landed (Audio),2:34,https://www.youtube.com/watch?v=mx7oBDVL7Y4,,,
92,Drake - When To Say When (Audio),3:45,https://www.youtube.com/watch?v=qTNFIQyWe8M,,,
91,Drake - Deep Pockets (Audio),3:44,https://www.youtube.com/watch?v=LDMTjY-QgD0,,,
90,Drake - Toosie Slide (Official Edited Audio),4:09,https://www.youtube.com/watch?v=miJOKqUUhkU,,,
89,Drake - Toosie Slide (Official Explicit Audio),4:09,https://www.youtube.com/watch?v=dGYxT1QReQs,,,
88,Drake - Toosie Slide (Official Music Video),5:12,https://www.youtube.com/watch?v=xWggTb45brM,,,
87,Drake - When To Say When & Chicago Freestyle,4:41,https://www.youtube.com/watch?v=0jz0GAFNNIo,,,
86,Rap Radar: Drake,2:20:59,https://www.youtube.com/watch?v=mmsasEoupO4,,,
85,Drake - War,3:05,https://www.youtube.com/watch?v=lIlMtVGI5Pg,,,
84,Drake - Money In The Grave ft. Rick Ross,4:18,https://www.youtube.com/watch?v=R0ykLlhg0AQ,,,
83,Drake - Nonstop,5:16,https://www.youtube.com/watch?v=lJTRVX9R5EA,,,
82,Drake - In My Feelings,8:00,https://www.youtube.com/watch?v=DRS_PpOrUZ4,,,
81,Drake - I'm Upset,6:31,https://www.youtube.com/watch?v=rIhx2wZ8jnA,,,
80,Drake - Nice For What,4:23,https://www.youtube.com/watch?v=U9BwWKXjVaI,,,
79,Drake - God's Plan,5:57,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,,,
78,"Virginia Black, Please Take Me Back",0:16,https://www.youtube.com/watch?v=gWkHI1BazdA,,,
77,Drake - Heat of the Moment,3:41,https://www.youtube.com/watch?v=akwlMVMNIYw,,,
76,OVOFEST 2017,1:02,https://www.youtube.com/watch?v=VWoBJDDobaI,,,
75,Houston Flood Relief Fund,0:31,https://www.youtube.com/watch?v=alAbdpcQwiw,,,
74,OVO YORKDALE FLAGSHIP,1:01,https://www.youtube.com/watch?v=6VHz9Edo_Vk,,,
73,Drake - Sneakin' ft. 21 Savage (Official Video),4:18,https://www.youtube.com/watch?v=WNW1xRqbt94,,,
72,Drake - Freak In You,4:21,https://www.youtube.com/watch?v=-uCBZqVNpB4,,,
71,Drake - Paris Morton Music,3:58,https://www.youtube.com/watch?v=pviZE1pK5ao,,,
70,Drake - Unstoppable feat. Lil Wayne,3:16,https://www.youtube.com/watch?v=PY00RSknE2c,,,
69,OVO x Clarks Originals 'Made in England',0:32,https://www.youtube.com/watch?v=pPpqEt04Nm8,,,
68,Drake - Right Hand,3:11,https://www.youtube.com/watch?v=WijyreyFnwI,,,
67,Drake - Little Bit,3:51,https://www.youtube.com/watch?v=UpHm2fB7ByY,,,
66,Drake - November 18th,3:06,https://www.youtube.com/watch?v=90OinCTy1xE,,,
65,Drake - Congratulations,5:26,https://www.youtube.com/watch?v=JY0q8XFiuwE,,,
64,MORE LIFE - 3/18/2017,0:37,https://www.youtube.com/watch?v=AwqyNGByUS0,,,
63,OVO FLAGSHIP NY,0:35,https://www.youtube.com/watch?v=zgIao5gbeRU,,,
62,Dave - Wanna Know ft. Drake (Audio),3:20,https://www.youtube.com/watch?v=XbZ0OXmXw38,,,
61,PARTYNEXTDOOR - Come And See Me ft. Drake (Audio),3:59,https://www.youtube.com/watch?v=lG4HICGeQoo,,,
60,Roy Woods - Drama feat. Drake (Audio) @RoyWoods,4:13,https://www.youtube.com/watch?v=XP0fdtXn49s,,,
59,Drake - I Get Lonely Too,4:11,https://www.youtube.com/watch?v=LEphhve_ILQ,,,
58,Drake - Ignant Shit ft. Lil Wayne (Audio),5:21,https://www.youtube.com/watch?v=r3fLQjpM7vg,,,
57,Drake - 5AM In Toronto (Audio),3:20,https://www.youtube.com/watch?v=bZ8ntWZQUyg,,,
56,Drake - Brand New,3:35,https://www.youtube.com/watch?v=REwTxzinZG8,,,
55,Drake - Lust For Life,2:57,https://www.youtube.com/watch?v=srCCRam7CpU,,,
54,Drake - A Night Off ft. Lloyd,3:14,https://www.youtube.com/watch?v=729sviCMLqE,,,
53,Drake - My Side,4:37,https://www.youtube.com/watch?v=ZYlrOCaUYhs,,,
52,OVO LA FLAGSHIP,1:28,https://www.youtube.com/watch?v=QLAvIn2qYPM,,,
51,"Wizkid - Ojuelegba feat. Drake, Skepta (Remix)",4:14,https://www.youtube.com/watch?v=0xMKf5BiodM,,,
50,Drake - Dreams Money Can Buy,4:08,https://www.youtube.com/watch?v=0Y1iiXSKEn0,,,
49,Drake - 4PM In Calabasas (Official Audio),3:56,https://www.youtube.com/watch?v=FRsqV0CZ86A,,,
48,DRAKE ~ JUNGLE (Short Film),14:41,https://www.youtube.com/watch?v=xnF3ePutWaA,,,
47,Migos - Versace feat. Drake (Audio),4:07,https://www.youtube.com/watch?v=gg4bmd1canU,,,
46,Drake - 5AM In Toronto (Official Video),3:38,https://www.youtube.com/watch?v=3t195yz9xCc,,,
45,"Drake - One Dance (Live On SNL) ft. Wizkid, Kyla",3:07,https://www.youtube.com/watch?v=vcer12OFU2g,,,
44,Drake - Hype (Live On SNL),2:59,https://www.youtube.com/watch?v=Zypyi3Dss9s,,,
43,Drake - Girls Love Beyonce ft. James Fauntleroy (Official Audio),3:39,https://www.youtube.com/watch?v=N4fExd4bTN4,,,
